,origin_airport_id,op_unique_carrier,Delayed,ratio,Ratio_Percentage
485,10800,AS,0,174,
486,10800,AS,1,72,
487,10800,B6,0,80,
488,10800,B6,1,20,
489,10800,DL,0,29,
490,10800,DL,1,23,
491,10800,NK,0,79,
492,10800,NK,1,13,
493,10800,OO,0,456,
494,10800,OO,1,72,
495,10800,UA,0,103,
496,10800,UA,1,14,
497,10800,WN,0,2769,
498,10800,WN,1,278,
499,10800,YV,0,200,
500,10800,YV,1,37,
501,10821,9E,0,320,
502,10821,9E,1,55,
503,10821,AA,0,512,
504,10821,AA,1,94,
505,10821,AS,0,66,
506,10821,AS,1,32,
507,10821,B6,0,173,
508,10821,B6,1,21,
509,10821,DL,0,739,
510,10821,DL,1,104,
511,10821,F9,0,46,
512,10821,F9,1,14,
513,10821,G4,0,25,
514,10821,G4,1,11,
515,10821,MQ,0,79,
516,10821,MQ,1,19,
517,10821,NK,0,927,
518,10821,NK,1,235,
519,10821,OH,0,6,
520,10821,OH,1,4,
521,10821,OO,0,85,
522,10821,OO,1,33,
523,10821,UA,0,340,
524,10821,UA,1,60,
525,10821,WN,0,7451,
526,10821,WN,1,1635,
527,10821,YX,0,27,
528,10821,YX,1,12,
529,10849,AA,0,52,
530,10849,AA,1,10,
531,10849,B6,0,4,
532,10849,DL,0,185,
533,10849,DL,1,24,
534,10849,F9,0,23,
535,10849,F9,1,6,
536,10849,G4,0,25,
537,10849,G4,1,7,
538,10849,MQ,0,32,
539,10849,MQ,1,18,
540,10849,OO,0,500,
541,10849,OO,1,108,
542,10849,UA,0,226,
543,10849,UA,1,30,
544,10849,YV,0,16,
545,10849,YV,1,4,
546,10849,YX,0,2,
547,10868,9E,0,213,
548,10868,9E,1,23,
549,10868,DL,0,161,
550,10868,DL,1,18,
551,10868,MQ,0,131,
552,10868,MQ,1,48,
553,10868,OH,0,248,
554,10868,OH,1,82,
555,10868,OO,0,47,
556,10868,OO,1,21,
557,10868,YX,0,41,
558,10868,YX,1,6,
559,10874,9E,0,60,
560,10874,9E,1,4,
561,10874,DL,0,73,
562,10874,DL,1,7,
563,10874,EV,0,19,
564,10874,EV,1,9,
565,10874,NK,0,60,
566,10874,NK,1,18,
567,10874,OH,0,276,
568,10874,OH,1,119,
569,10874,OO,0,79,
570,10874,OO,1,27,
571,10874,YV,0,46,
572,10874,YV,1,6,
573,10918,OO,0,87,
574,10918,OO,1,3,
575,10926,AS,0,65,
576,10926,AS,1,16,
577,10967,OO,0,64,
578,10967,OO,1,14,
579,10980,9E,0,300,
580,10980,9E,1,38,
581,10980,DL,0,72,
582,10980,DL,1,6,
583,10980,G4,0,25,
584,10980,G4,1,5,
585,10980,MQ,0,44,
586,10980,MQ,1,2,
587,10980,OH,0,254,
588,10980,OH,1,61,
589,10980,OO,0,117,
590,10980,OO,1,31,
591,10980,YV,0,67,
592,10980,YV,1,21,
593,10990,9E,0,225,
594,10990,9E,1,48,
595,10990,DL,0,43,
596,10990,DL,1,5,
597,10990,MQ,0,168,
598,10990,MQ,1,58,
599,10990,OH,0,162,
600,10990,OH,1,38,
601,10990,OO,0,107,
602,10990,OO,1,40,
603,10994,9E,0,71,
604,10994,9E,1,9,
605,10994,AA,0,209,
606,10994,AA,1,36,
607,10994,AS,0,26,
608,10994,AS,1,12,
609,10994,B6,0,168,
610,10994,B6,1,41,
611,10994,DL,0,501,
612,10994,DL,1,52,
613,10994,EV,0,46,
614,10994,EV,1,6,
615,10994,G4,0,23,
616,10994,MQ,0,94,
617,10994,MQ,1,15,
618,10994,OH,0,388,
619,10994,OH,1,127,
620,10994,OO,0,142,
621,10994,OO,1,33,
622,10994,UA,0,18,
623,10994,UA,1,4,
624,10994,WN,0,298,
625,10994,WN,1,49,
